Table 1
NAME,GEOID,state_name,"Auto/Retail Debt Delinquency Rate, All","Auto/Retail Debt Delinquency Rate, Communities of Color","Auto/Retail Debt Delinquency Rate, Majority White Communities","Share of Subprime Consumers with Auto/Retail Delinquencies, All","Share of Near-Prime Consumers with Auto/Retail Delinquencies, All","Share of Prime Consumers with Auto/Retail Delinquencies, All","Share with Open Auto Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Share with Open Auto/Retail Debt, All","Share with Open Auto/Retail Debt, Communities of Color","Share with Open Auto/Retail Debt, Majority White Communities","% population in rural areas, 2010 (Census)",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Autauga County, Alabama",01001,Alabama,.0634218,n/a*,.0650155,.2628205,.0130719,0,.2623955,n/a*,.2649472,.3727019,n/a*,.3733881,.4200216,.2539726,75326,50809,82971
"Baldwin County, Alabama",01003,Alabama,.0428429,n/a**,.0427753,.2402464,.0205339,.0004912,.33154,n/a**,.3327853,.3993275,n/a**,.4010139,.422791,.169276,81449,47333,86522
"Barbour County, Alabama",01005,Alabama,.0868167,n/a*,n/a*,.297619,.015873,0,.2787958,.2435897,.3454545,.3979058,.2948718,.4181818,.6778963,.541895,47068,31673,63382
"Bibb County, Alabama",01007,Alabama,.1048689,n/a**,.0917031,.3246753,n/a*,0,.3047619,n/a**,.3118081,.4111111,n/a**,.4095941,.6835261,.2547459,60182,40249,65273
"Blount County, Alabama",01009,Alabama,.0407876,n/a*,.0407876,.1746988,0,0,.2988116,n/a*,.2989807,.3978495,n/a*,.3980747,.899515,.1310657,65639,49595,67146
"Bullock County, Alabama",01011,Alabama,.125,.12,n/a*,n/a*,n/a*,n/a*,.2777778,.2727273,n/a*,.4325397,.4242424,n/a*,.5137438,.7862022,48571,39215,80344
"Butler County, Alabama",01013,Alabama,.1176471,n/a*,n/a*,.375,n/a*,0,.2351047,n/a*,.2786885,.373591,n/a*,.4262295,.7123216,.4839621,55971,40049,68198
"Calhoun County, Alabama",01015,Alabama,.0936849,n/a**,.0756609,.3262599,.0295082,.0039526,.2871537,n/a**,.3079848,.3937867,n/a**,.4098859,.3369682,.2792755,61137,39105,69780
"Chambers County, Alabama",01017,Alabama,.0793651,n/a*,.0636704,.2781955,.0265487,0,.2857143,n/a*,.3154472,.4079273,n/a*,.4292683,.4914804,.4445336,53505,45986,59318
"Cherokee County, Alabama",01019,Alabama,.0636943,n/a**,.0636943,.2533333,.0175439,0,.3003755,n/a**,.3003755,.387985,n/a**,.387985,.8573627,.0827703,57617,43107,58700
"Chilton County, Alabama",01021,Alabama,.0923825,n/a*,.09375,.3190184,.0336134,.0029851,.2815014,n/a*,.280027,.405496,n/a*,.4021592,.8674473,.1986835,62784,47591,65857
"Choctaw County, Alabama",01023,Alabama,.0827586,n/a*,.0843373,n/a*,n/a*,0,.2865014,.287037,.2744186,.3911846,.4074074,.3767442,1,.4362089,52395,36665,64098
"Clarke County, Alabama",01025,Alabama,.0900901,n/a*,.0350877,.311828,.0172414,0,.3132023,n/a*,.2978723,.4578652,n/a*,.4042553,.7598034,.4728117,54687,39235,66439
"Clay County, Alabama",01027,Alabama,.1004566,n/a**,.1104295,.328125,.0196078,0,.2653061,n/a**,.2671569,.4007421,n/a**,.3921569,1,.196446,57585,41044,61198
"Cleburne County, Alabama",01029,Alabama,.039801,n/a**,.04,n/a*,n/a*,0,.3225108,n/a**,.323913,.4285714,n/a**,.4282609,1,.0730759,57990,48760,58698
"Coffee County, Alabama",01031,Alabama,.0537482,n/a**,.0549928,.244898,.0144928,0,.3472222,n/a**,.351634,.4406566,n/a**,.4457516,.4719508,.2985366,70079,52097,76975
"Colbert County, Alabama",01033,Alabama,.0718391,n/a**,.0712209,.2674419,.0205479,.0026455,.2895472,n/a**,.2890272,.3784237,n/a**,.3789593,.4389469,.2180168,60904,42998,65431
"Conecuh County, Alabama",01035,Alabama,.0940171,.1022727,n/a*,n/a*,n/a*,0,.3046358,.3030303,.3,.3874172,.3809524,.4,.809495,.4995159,47286,40122,54421
"Coosa County, Alabama",01037,Alabama,.0735294,n/a*,n/a*,n/a*,n/a*,n/a*,.2738853,n/a*,.2844037,.4203822,n/a*,.4220183,1,.3520498,56017,37476,63947
"Covington County, Alabama",01039,Alabama,.0540541,n/a*,.0543933,.1904762,.0173913,0,.3012876,n/a*,.3019031,.4085837,n/a*,.4091696,.6965179,.1670968,57075,35150,60794
"Crenshaw County, Alabama",01041,Alabama,.0844444,n/a**,.0875576,.2686567,n/a*,0,.3108911,n/a**,.3149284,.4376238,n/a**,.4355828,1,.2901618,61468,47966,66682
"Cullman County, Alabama",01043,Alabama,.0671769,n/a**,.0674637,.2757353,.0165289,0,.3008757,n/a**,.3031482,.4035026,n/a**,.4057305,.7323956,.0811558,61920,50907,62594
"Dale County, Alabama",01045,Alabama,.0866873,n/a**,.0859873,.3293413,0,.003096,.3198353,n/a**,.3215046,.4378861,n/a**,.4400284,.5088854,.3143454,61001,48648,65921
"Dallas County, Alabama",01047,Alabama,.1230068,.1205674,n/a*,.3354839,.0229885,0,.2764004,.2769231,n/a*,.3957759,.3990385,n/a*,.4563898,.7268385,47753,39144,67738
"DeKalb County, Alabama",01049,Alabama,.0690955,n/a**,.0690955,.2988506,.0117647,.0022124,.2596339,n/a**,.2596339,.3742774,n/a**,.3742774,.9013065,.1956388,56777,36970,59359
"Elmore County, Alabama",01051,Alabama,.0582437,n/a**,.0583255,.2924528,.0140187,0,.3015637,n/a**,.3018497,.4091586,n/a**,.4120425,.5418836,.2684117,82576,61579,89085
"Escambia County, Alabama",01053,Alabama,.0589391,n/a**,.0481481,.234375,0,0,.3189509,n/a**,.2624114,.4238579,n/a**,.377305,.6351157,.3976577,50242,37092,57937
"Etowah County, Alabama",01055,Alabama,.0650741,n/a**,.0609391,.2629758,.008547,0,.281717,n/a**,.2773973,.3783784,n/a**,.3740487,.3748348,.2213863,59944,41337,64318
"Fayette County, Alabama",01057,Alabama,.0765027,n/a**,.0765027,.28,n/a*,0,.2577519,n/a**,.2577519,.3527132,n/a**,.3527132,.8023316,.1550261,53897,32000,57335
"Franklin County, Alabama",01059,Alabama,.0530504,n/a**,.0474308,.1938775,.0128205,0,.3102679,n/a**,.3158784,.4151786,n/a**,.4222973,.7036651,.2315197,56907,49122,58400
"Geneva County, Alabama",01061,Alabama,.0842697,n/a**,.0842697,.35,.0298507,0,.3071749,n/a**,.3075196,.3890134,n/a**,.38945,.8964165,.1614869,53077,38198,55244
"Greene County, Alabama",01063,Alabama,.172043,.173913,n/a*,n/a*,n/a*,n/a*,.2635983,.2627119,n/a*,.3849372,.3855932,n/a*,1,.8276069,36431,29370,65925
"Hale County, Alabama",01065,Alabama,.097561,.1209677,n/a**,.3103448,n/a*,0,.3138833,.3098592,n/a**,.4024145,.4225352,n/a**,.8916878,.6046999,51992,35091,76553
