NAME,GEOID,state_name,"Auto/Retail Debt Delinquency Rate, All","Auto/Retail Debt Delinquency Rate, Communities of Color","Auto/Retail Debt Delinquency Rate, Majority White Communities","Share of Subprime Consumers with Auto/Retail Delinquencies, All","Share of Near-Prime Consumers with Auto/Retail Delinquencies, All","Share of Prime Consumers with Auto/Retail Delinquencies, All","Share with Open Auto Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Share with Open Auto/Retail Debt, All","Share with Open Auto/Retail Debt, Communities of Color","Share with Open Auto/Retail Debt, Majority White Communities","% population in rural areas, 2010 (Census)",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Autauga County, Alabama",1001,Alabama,0.0634218,n/a*,0.0650155,0.2628205,0.0130719,0,0.2623955,n/a*,0.2649472,0.3727019,n/a*,0.3733881,0.4200216,0.2539726,75326,50809,82971
"Baldwin County, Alabama",1003,Alabama,0.0428429,n/a**,0.0427753,0.2402464,0.0205339,0.0004912,0.33154,n/a**,0.3327853,0.3993275,n/a**,0.4010139,0.422791,0.169276,81449,47333,86522
"Barbour County, Alabama",1005,Alabama,0.0868167,n/a*,n/a*,0.297619,0.015873,0,0.2787958,0.2435897,0.3454545,0.3979058,0.2948718,0.4181818,0.6778963,0.541895,47068,31673,63382
"Bibb County, Alabama",1007,Alabama,0.1048689,n/a**,0.0917031,0.3246753,n/a*,0,0.3047619,n/a**,0.3118081,0.4111111,n/a**,0.4095941,0.6835261,0.2547459,60182,40249,65273
"Blount County, Alabama",1009,Alabama,0.0407876,n/a*,0.0407876,0.1746988,0,0,0.2988116,n/a*,0.2989807,0.3978495,n/a*,0.3980747,0.899515,0.1310657,65639,49595,67146
"Bullock County, Alabama",1011,Alabama,0.125,0.12,n/a*,n/a*,n/a*,n/a*,0.2777778,0.2727273,n/a*,0.4325397,0.4242424,n/a*,0.5137438,0.7862022,48571,39215,80344
"Butler County, Alabama",1013,Alabama,0.1176471,n/a*,n/a*,0.375,n/a*,0,0.2351047,n/a*,0.2786885,0.373591,n/a*,0.4262295,0.7123216,0.4839621,55971,40049,68198
"Calhoun County, Alabama",1015,Alabama,0.0936849,n/a**,0.0756609,0.3262599,0.0295082,0.0039526,0.2871537,n/a**,0.3079848,0.3937867,n/a**,0.4098859,0.3369682,0.2792755,61137,39105,69780
"Chambers County, Alabama",1017,Alabama,0.0793651,n/a*,0.0636704,0.2781955,0.0265487,0,0.2857143,n/a*,0.3154472,0.4079273,n/a*,0.4292683,0.4914804,0.4445336,53505,45986,59318
"Cherokee County, Alabama",1019,Alabama,0.0636943,n/a**,0.0636943,0.2533333,0.0175439,0,0.3003755,n/a**,0.3003755,0.387985,n/a**,0.387985,0.8573627,0.0827703,57617,43107,58700
"Chilton County, Alabama",1021,Alabama,0.0923825,n/a*,0.09375,0.3190184,0.0336134,0.0029851,0.2815014,n/a*,0.280027,0.405496,n/a*,0.4021592,0.8674473,0.1986835,62784,47591,65857
"Choctaw County, Alabama",1023,Alabama,0.0827586,n/a*,0.0843373,n/a*,n/a*,0,0.2865014,0.287037,0.2744186,0.3911846,0.4074074,0.3767442,1,0.4362089,52395,36665,64098
"Clarke County, Alabama",1025,Alabama,0.0900901,n/a*,0.0350877,0.311828,0.0172414,0,0.3132023,n/a*,0.2978723,0.4578652,n/a*,0.4042553,0.7598034,0.4728117,54687,39235,66439
"Clay County, Alabama",1027,Alabama,0.1004566,n/a**,0.1104295,0.328125,0.0196078,0,0.2653061,n/a**,0.2671569,0.4007421,n/a**,0.3921569,1,0.196446,57585,41044,61198
"Cleburne County, Alabama",1029,Alabama,0.039801,n/a**,0.04,n/a*,n/a*,0,0.3225108,n/a**,0.323913,0.4285714,n/a**,0.4282609,1,0.0730759,57990,48760,58698
"Coffee County, Alabama",1031,Alabama,0.0537482,n/a**,0.0549928,0.244898,0.0144928,0,0.3472222,n/a**,0.351634,0.4406566,n/a**,0.4457516,0.4719508,0.2985366,70079,52097,76975
"Colbert County, Alabama",1033,Alabama,0.0718391,n/a**,0.0712209,0.2674419,0.0205479,0.0026455,0.2895472,n/a**,0.2890272,0.3784237,n/a**,0.3789593,0.4389469,0.2180168,60904,42998,65431
"Conecuh County, Alabama",1035,Alabama,0.0940171,0.1022727,n/a*,n/a*,n/a*,0,0.3046358,0.3030303,0.3,0.3874172,0.3809524,0.4,0.809495,0.4995159,47286,40122,54421
"Coosa County, Alabama",1037,Alabama,0.0735294,n/a*,n/a*,n/a*,n/a*,n/a*,0.2738853,n/a*,0.2844037,0.4203822,n/a*,0.4220183,1,0.3520498,56017,37476,63947
"Covington County, Alabama",1039,Alabama,0.0540541,n/a*,0.0543933,0.1904762,0.0173913,0,0.3012876,n/a*,0.3019031,0.4085837,n/a*,0.4091696,0.6965179,0.1670968,57075,35150,60794
"Crenshaw County, Alabama",1041,Alabama,0.0844444,n/a**,0.0875576,0.2686567,n/a*,0,0.3108911,n/a**,0.3149284,0.4376238,n/a**,0.4355828,1,0.2901618,61468,47966,66682
"Cullman County, Alabama",1043,Alabama,0.0671769,n/a**,0.0674637,0.2757353,0.0165289,0,0.3008757,n/a**,0.3031482,0.4035026,n/a**,0.4057305,0.7323956,0.0811558,61920,50907,62594
"Dale County, Alabama",1045,Alabama,0.0866873,n/a**,0.0859873,0.3293413,0,0.003096,0.3198353,n/a**,0.3215046,0.4378861,n/a**,0.4400284,0.5088854,0.3143454,61001,48648,65921
"Dallas County, Alabama",1047,Alabama,0.1230068,0.1205674,n/a*,0.3354839,0.0229885,0,0.2764004,0.2769231,n/a*,0.3957759,0.3990385,n/a*,0.4563898,0.7268385,47753,39144,67738
"DeKalb County, Alabama",1049,Alabama,0.0690955,n/a**,0.0690955,0.2988506,0.0117647,0.0022124,0.2596339,n/a**,0.2596339,0.3742774,n/a**,0.3742774,0.9013065,0.1956388,56777,36970,59359
