state_name,county_name,Debt_All,Debt_Communities_Color,Debt_Majorities_White,Avg_Household_Income_All,Avg_Non_White_Income,Avg_Non_Hispanic
Alabama,AUTAUGA,.2623955,49,.2649472,75326,50809,82971
Alabama,BULLOCK,.2777778,.2727273,49,48571,39215,80344
Alabama,CHILTON,.2815014,49,.280027,62784,47591,65857
Alabama,COLBERT,.2895472,49,.2890272,60904,42998,65431
Alabama,CONECUH,.3046358,.3030303,.3,47286,40122,54421
Alabama,COOSA,.2738853,49,.2844037,56017,37476,63947
Alabama,CRENSHAW,.3108911,49,.3149284,61468,47966,66682
Alabama,CULLMAN,.3008757,49,.3031482,61920,50907,62594
Alabama,DALE,.3198353,49,.3215046,61001,48648,65921
Alabama,ETOWAH,.281717,49,.2773973,59944,41337,64318
Alabama,GENEVA,.3071749,49,.3075196,53077,38198,55244
Alabama,MARENGO,.3255426,.3473684,.245283,54556,42686,70338
Alabama,MOBILE,.2901475,.2586858,.3098539,64556,47658,76669
Alabama,TALLADEGA,.2459872,49,.2464945,62758,52332,68492
Alabama,TALLAPOOSA,.247605,.3294118,.2442053,60734,39221,68552
Alabama,TUSCALOOSA,.3090464,49,.3309971,73432,52839,84986
Alaska,ALEUTIANS,.1038961,.1038961,49,101964,86979,133787
Alaska,ANCHORAGE,.3041687,.2756696,.3036756,109042,86133,121674
Alaska,BETHEL,.1205674,.1205674,49,70804,59999,132395
Alaska,DENALI,.2941177,49,.2941177,85694,73123,87109
Alaska,DILLINGHAM,.1782178,.1782178,49,72576,65900,114253
Alaska,FAIRBANKS,.3503909,49,.356021,103334,109301,101587
Alaska,HAINES,.1232877,49,.1232877,72356,46093,77207
Alaska,KENAI,.2640092,49,.2667457,85348,71327,87619
Alaska,KETCHIKAN,.2137931,49,.2155388,92764,75027,100439
Alaska,KODIAK,.2886905,49,49,94946,82439,103039
Alaska,KUSILVAK,.0409836,.0409836,49,47654,46211,105445
Alaska,MATANUSKA-SUSITNA,.3301435,49,.3198068,92126,75535,95478
Alaska,NOME,.1609195,.1609195,49,76581,64278,124191
Alaska,NORTH,.2820513,.283871,49,94169,88352,147085
Alaska,NORTHWEST,.1102362,.1102362,49,79967,70570,127172
Alaska,SITKA,.1531915,49,.1531915,90196,73324,97881
Alaska,SOUTHEAST,.2838428,49,.2516556,80810,49184,88603
Alaska,VALDEZ-CORDOVA,.2625483,49,.2552301,96106,90479,97452
Alaska,YAKUTAT,49,49,49,76895,67697,87253
Alaska,YUKON-KOYUKUK,.1272727,.0945946,49,53438,46378,78732
Arizona,APACHE,.4337417,.4774292,.2910959,43748,37697,65916
Arizona,COCHISE,.2893265,.2773498,.2900208,67592,58576,73094
Arizona,COCONINO,.3220798,.4326711,.2844726,81219,59846,93416
Arizona,GILA,.2624688,.2837838,.2458858,58074,52893,60152
Arizona,GREENLEE,.4085106,.4,.3157895,74470,65086,82930
Arizona,MARICOPA,.311102,.2954513,.3168442,92992,76883,101753
Arizona,MOHAVE,.2977987,49,.2997223,63437,56369,65001
Arizona,NAVAJO,.3621711,.4303691,.318322,53425,42266,64474
Arizona,PIMA,.2941502,.3212191,.2875637,76892,65083,84544
Arizona,PINAL,.3579677,.3072128,.3659787,78763,70124,82969
Arizona,YAVAPAI,.2650986,49,.2637445,71282,70313,71439
Arkansas,ARKANSAS,.3584906,49,.3535528,61946,40086,69914
Arkansas,ASHLEY,.3687405,49,.3664495,59845,33834,70400
Arkansas,BAXTER,.263329,49,.2629827,59206,63154,59038
Arkansas,CHICOT,.3435583,.2926829,49,50528,42784,61866
Arkansas,CLEBURNE,.3290183,49,.3290183,61420,45209,61962
Arkansas,CONWAY,.389313,49,.3898305,61828,55863,62990
Arkansas,CRAIGHEAD,.3569704,49,.3522562,68763,58608,72014
Arkansas,CROSS,.3667883,49,.3786408,63421,56355,65816
Arkansas,DESHA,.3049853,.2921348,49,45429,32978,59554
Arkansas,DREW,.3870403,49,.4063205,64337,58228,67128
Arkansas,FAULKNER,.3822258,49,.3837336,74775,53140,79009
Arkansas,GARLAND,.2849381,49,.2863806,61782,45072,64447
Arkansas,HEMPSTEAD,.3154762,49,.2972973,55612,46393,61801
Arkansas,INDEPENDENCE,.377724,49,.3763353,60581,41415,62287
Arkansas,IZARD,.2944607,49,.3014925,54216,42163,54486
Arkansas,LITTLE,.2707775,49,.272973,59109,43591,65515
Arkansas,LONOKE,.4487979,49,.4478022,75963,47154,79271
Arkansas,POINSETT,.3254282,49,.326288,51257,33091,53571
Arkansas,SEARCY,.2727273,49,.2727273,48048,23055,49269
Arkansas,SEBASTIAN,.2786636,.2089041,.2939752,65576,52056,70004
Arkansas,SHARP,.3713768,49,.3747715,48262,60320,47801
Arkansas,WOODRUFF,.2924528,49,.3495146,51320,33486,58338
Arkansas,YELL,.336,49,.3344103,59191,48067,61702
California,ALAMEDA,.2097298,.2187864,.1937244,141427,128196,162954
California,ALPINE,49,49,49,97724,73313,106429
California,AMADOR,.2668178,49,.2659574,81659,77760,82222
California,CALAVERAS,.2599595,49,.2616239,84039,69830,86475
California,COLUSA,.3411928,.3523035,49,77196,65981,89910
California,CONTRA,.2585659,.2684435,.2313246,146387,128109,162832
California,DEL,.2601227,49,.2602564,63515,74252,60119
California,FRESNO,.3051416,.2991887,.3544511,76573,67590,90844
California,GLENN,.2985075,.3333333,.1525424,62706,51843,69402
California,IMPERIAL,.3068756,.3178571,49,64050,61705,77156
California,INYO,.2790698,49,.2981221,71376,59362,76472
California,KERN,.3227986,.314902,.3105023,75669,64740,90209
California,LASSEN,.3329016,49,.3677686,71713,67417,72298
California,MADERA,.3040496,.2987496,.2885835,83590,77641,90688
California,MARIN,.2174581,49,.2233348,180587,127114,192896
California,MARIPOSA,.2369748,49,.2369748,61727,49556,63913
California,MENDOCINO,.2677782,.2941177,.255675,71732,55596,76633
California,MERCED,.3078608,.3094201,.292887,79523,73468,89541
California,MODOC,.2612903,49,.2754237,53699,32503,57235
California,MONO,.2661692,49,.2941177,84427,61668,91692
California,MONTEREY,.2631739,.2793803,.21122,102106,80216,130348
California,NAPA,.2617099,.3301105,.2106164,130499,111148,140243
California,NEVADA,.2449451,49,.2495452,97744,104273,97159
California,PLACER,.2890218,49,.2890661,124843,115999,127533
California,PLUMAS,.2276065,49,.2268657,77027,63065,79015
California,RIVERSIDE,.337148,.3378278,.2762576,95564,85910,106957
California,SACRAMENTO,.2760174,.2822809,.2729129,93318,82570,103200
California,SHASTA,.2786467,.1940299,.2816192,81663,75892,82650
California,SISKIYOU,.2742702,49,.2782115,64251,64388,64221
California,SOLANO,.3047051,.2918351,.2636854,105465,97468,114834
California,SONOMA,.2600619,.2533438,.2564783,117426,98684,123938
California,STANISLAUS,.3039896,.3044251,.3294118,79840,71348,88119
California,SUTTER,.3060556,49,.3267327,89212,78010,98523
California,TEHAMA,.3098659,49,.3040857,70306,58475,74373
California,TULARE,.3205593,.3228182,.3061225,74820,68384,85045
California,TUOLUMNE,.2585112,49,.2596325,83571,77161,84540
California,VENTURA,.2844592,.2938864,.2797606,121196,101144,135311
California,YOLO,.2320026,.3171247,49,107375,82925,127855
California,YUBA,.3227057,49,.3132832,74158,89280,67440
Colorado,ALAMOSA,.2862986,49,49,56513,49816,63021
Colorado,ARAPAHOE,.3067538,.2793797,.3088734,110227,90514,119507
Colorado,ARCHULETA,.2451613,49,.2471396,71666,55003,75727
Colorado,BACA,.3492064,49,.3492064,51324,30844,55192
Colorado,BENT,.2142857,49,.2177419,44983,32551,49645
Colorado,BOULDER,.2290386,49,.2302302,125894,98192,131852
Colorado,BROOMFIELD,.2904523,49,.2920667,144139,146456,143594
Colorado,CHAFFEE,.2715856,49,.2715856,70142,59903,71188
Colorado,CLEAR,.2828947,49,.2828947,84430,73627,85438
Colorado,CONEJOS,.2987552,.3488372,49,50114,40078,63412
Colorado,COSTILLA,.3278688,.3898305,49,46633,37487,68921
Colorado,CROWLEY,.2596154,49,49,50640,45085,53363
Colorado,DENVER,.2699512,.2812974,.2708457,106715,74656,124828
Colorado,DOLORES,.3690476,49,.3690476,62136,205195,58463
Colorado,EAGLE,.2727844,49,.2860386,118174,73704,132060
Colorado,GILPIN,.2256097,49,.2317881,103719,132305,99411
Colorado,GUNNISON,.190678,49,.1923077,77389,50894,79668
Colorado,HINSDALE,49,49,49,74731,45630,76622
Colorado,HUERFANO,.2592593,49,.1929825,50466,44024,53769
Colorado,KIT,.3348416,49,.3363636,69660,63061,70869
Colorado,LARIMER,.2870157,49,.2871825,98731,76965,101962
Colorado,LAS,.3270042,49,49,56571,46287,64386
Colorado,MESA,.3145928,49,.3169559,78226,66318,80408
Colorado,MOFFAT,.3390244,49,.3410853,70569,51176,73922
Colorado,MONTEZUMA,.2988506,49,.2899329,61197,50106,64191
Colorado,MONTROSE,.2935709,49,.2969984,66576,55690,68855
Colorado,OURAY,.2333333,49,.2333333,89953,58336,91342
Colorado,PITKIN,.245098,49,.2536765,123052,97552,125147
Colorado,PROWERS,.2909091,49,49,57202,45778,62976
Colorado,PUEBLO,.3318906,49,.4029503,66317,56004,73694
Colorado,ROUTT,.2342995,49,.242228,106451,84529,107881
Colorado,SAGUACHE,.2548077,.3703704,.184,51603,46901,54269
Colorado,TELLER,.2777778,49,.2821782,84460,97156,83489
Colorado,WELD,.3697842,49,.3837434,95567,74032,103829
Colorado,YUMA,.3208191,49,.3208191,68157,46145,72859
Connecticut,HARTFORD,.2938775,.2302019,.3153292,101930,77041,114921
Connecticut,LITCHFIELD,.3430378,49,.3435204,112372,117522,111867
Connecticut,TOLLAND,.3263617,49,.3270295,118561,108398,120050
District Of Columbia,DISTRICT,.1794896,.2285009,.1282693,135369,87618,199025
Florida,ALACHUA,.2544899,.2406015,.274381,73143,61231,79695
Florida,BREVARD,.314189,.2133333,.3140535,78841,65505,82421
Florida,BROWARD,.3035327,.300568,.2907816,88786,77781,103094
Florida,CITRUS,.3057451,49,.3064873,65270,63301,65495
Florida,COLLIER,.3117068,.351321,.2817849,121643,71475,139313
Florida,DIXIE,.2731183,49,.2731183,56035,39139,58011
Florida,ESCAMBIA,.2964034,.2109827,.3118497,73632,52875,83421
Florida,FLAGLER,.3456297,49,.3476292,79514,77000,80146
Florida,GADSDEN,.3614458,.3601741,49,53811,45706,67475
Florida,GILCHRIST,.3170732,49,.3170732,56762,35735,58336
Florida,GLADES,.3919598,49,49,55963,52360,57573
Florida,GULF,.2860215,49,.2831461,61039,45006,63771
Florida,HARDEE,.3677249,.4085366,49,53433,42217,61274
Florida,HENDRY,.3438045,.3303571,49,56396,50811,65059
Florida,HERNANDO,.3408302,49,.3419847,62821,59650,63576
Florida,HIGHLANDS,.3118783,49,.3133462,65399,50916,70582
Florida,INDIAN,.3088495,.3480392,.3099569,87627,64618,92773
Florida,LEVY,.2916374,49,.295977,49934,40057,51874
Florida,MANATEE,.3195406,49,.3225986,92213,68499,97930
Florida,MIAMI-DADE,.2911401,.2955348,49,82803,73236,138866
Florida,OKALOOSA,.3621422,49,.363072,85766,70248,89776
Florida,OKEECHOBEE,.3392719,49,.3354922,58238,45978,62413
Florida,PALM,.3218119,.3070107,.3302502,101876,74741,116398
Florida,PASCO,.3604529,49,.3473651,73875,77845,72828
Florida,PINELLAS,.2780125,.2570404,.2825254,83277,67502,87082
Florida,SARASOTA,.2887459,49,.2956082,94576,71604,97407
Florida,SUWANNEE,.3395502,49,.3519589,61690,41417,66248
Florida,VOLUSIA,.3154732,.25,.3113208,70972,59498,74550
Florida,WAKULLA,.3776908,49,.3842315,73794,78910,73068
Georgia,APPLING,.2650602,49,.2720721,54634,34992,60778
Georgia,ATKINSON,.27,49,49,54979,35342,65170
Georgia,BACON,.2401216,49,.2401316,53187,30769,58794
Georgia,BALDWIN,.2966841,49,.245283,56958,49055,63124
Georgia,BANKS,.2771739,49,.2771739,56327,40741,58065
Georgia,BARROW,.3653571,49,.3653571,77081,65717,81458
Georgia,BARTOW,.3120212,49,.3133136,70644,44135,77420
Georgia,BEN,.2234206,49,.2168675,43566,28041,56083
Georgia,BIBB,.2728187,.2417169,.315508,67678,46101,96567
Georgia,BLECKLEY,.2885714,49,.2885714,56095,32465,62809
Georgia,BRANTLEY,.266055,49,.266055,51349,43583,51835
Georgia,BULLOCH,.3003663,49,.3270677,61191,53716,64889
Georgia,BUTTS,.3182957,49,.3145897,72157,74481,71207
Georgia,CANDLER,.31875,49,.31875,52898,41200,59424
Georgia,CATOOSA,.3302348,49,.3305542,71692,74131,71623
Georgia,CHARLTON,.27,49,.3387097,52464,39184,56976
Georgia,CHATTAHOOCHEE,.376506,49,49,64522,52628,69956
Georgia,CHATTOOGA,.2790698,49,.2790698,48964,34720,50632
Georgia,CLINCH,.2673797,49,.2611111,39016,25245,45298
Georgia,COBB,.2675009,.2565586,.2680767,108459,87971,125246
Georgia,COLQUITT,.2966168,49,.2898551,55000,42188,62733
Georgia,COWETA,.3399004,49,.3420238,90034,73320,96049
Georgia,CRISP,.2702703,49,49,56889,39216,70687
Georgia,DOOLY,.2777778,.3010753,49,57325,43634,72830
Georgia,DOUGHERTY,.2726578,.2577372,49,51382,43415,68511
Georgia,EARLY,.275974,49,49,46829,37628,55267
Georgia,ECHOLS,.3333333,49,.3243243,53541,54165,53307
Georgia,ELBERT,.2429752,49,.2868852,53908,42781,59094
Georgia,EMANUEL,.2853403,49,.2969697,50288,38245,57455
Georgia,EVANS,.318612,49,49,54026,37986,64697
Georgia,GLASCOCK,.3690476,49,.3536585,61176,61186,61175
Georgia,GLYNN,.3021958,.2644377,.2950226,82009,62521,90586
Georgia,GORDON,.3024523,49,.3077354,63076,50197,65821
Georgia,GWINNETT,.2861522,.2647405,.3322277,93401,78495,115129
Georgia,HABERSHAM,.2696547,49,.2697709,63866,60578,64466
