,year,state,state_po,county_name,county_fips,party,candidatevotes,POPESTIMATE2019,INTERNATIONALMIG2019,"Share with Open Auto/Retail Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
0,2020,ALABAMA,AL,AUTAUGA,1001.0,DEMOCRAT,7503,55869.0,-16.0,1163331272.0605056,50.0,826991660.6404991,75326.0,50809,82971.0
1,2020,ALABAMA,AL,AUTAUGA,1001.0,OTHER,429,55869.0,-16.0,1163331272.0605056,50.0,826991660.6404991,75326.0,50809,82971.0
2,2020,ALABAMA,AL,AUTAUGA,1001.0,REPUBLICAN,19838,55869.0,-16.0,1163331272.0605056,50.0,826991660.6404991,75326.0,50809,82971.0
3,2020,ALABAMA,AL,BALDWIN,1003.0,DEMOCRAT,24578,223234.0,80.0,19899854528.28659,50.0,16583829210.741085,81449.0,47333,86522.0
5,2020,ALABAMA,AL,BALDWIN,1003.0,OTHER,1557,223234.0,80.0,19899854528.28659,50.0,16583829210.741085,81449.0,47333,86522.0
7,2020,ALABAMA,AL,BALDWIN,1003.0,REPUBLICAN,83544,223234.0,80.0,19899854528.28659,50.0,16583829210.741085,81449.0,47333,86522.0
9,2020,ALABAMA,AL,BARBOUR,1005.0,DEMOCRAT,4816,24686.0,13.0,242483235.8602568,148443221.1800612,210519487.281882,47068.0,31673,63382.0
11,2020,ALABAMA,AL,BARBOUR,1005.0,OTHER,80,24686.0,13.0,242483235.8602568,148443221.1800612,210519487.281882,47068.0,31673,63382.0
13,2020,ALABAMA,AL,BARBOUR,1005.0,REPUBLICAN,5622,24686.0,13.0,242483235.8602568,148443221.1800612,210519487.281882,47068.0,31673,63382.0
15,2020,ALABAMA,AL,BIBB,1007.0,DEMOCRAT,1986,22394.0,10.0,206168613.6723196,50.0,156369029.46381158,60182.0,40249,65273.0
17,2020,ALABAMA,AL,BIBB,1007.0,OTHER,84,22394.0,10.0,206168613.6723196,50.0,156369029.46381158,60182.0,40249,65273.0
19,2020,ALABAMA,AL,BIBB,1007.0,REPUBLICAN,7525,22394.0,10.0,206168613.6723196,50.0,156369029.46381158,60182.0,40249,65273.0
21,2020,ALABAMA,AL,BLOUNT,1009.0,DEMOCRAT,2640,57826.0,6.0,1330347568.983462,50.0,999745500.290873,65639.0,49595,67146.0
23,2020,ALABAMA,AL,BLOUNT,1009.0,OTHER,237,57826.0,6.0,1330347568.983462,50.0,999745500.290873,65639.0,49595,67146.0
25,2020,ALABAMA,AL,BLOUNT,1009.0,REPUBLICAN,24711,57826.0,6.0,1330347568.983462,50.0,999745500.290873,65639.0,49595,67146.0
27,2020,ALABAMA,AL,BULLOCK,1011.0,DEMOCRAT,3446,10101.0,-1.0,44132112.5314797,27826421.2371873,50.0,48571.0,39215,80344.0
28,2020,ALABAMA,AL,BULLOCK,1011.0,OTHER,21,10101.0,-1.0,44132112.5314797,27826421.2371873,50.0,48571.0,39215,80344.0
29,2020,ALABAMA,AL,BULLOCK,1011.0,REPUBLICAN,1146,10101.0,-1.0,44132112.5314797,27826421.2371873,50.0,48571.0,39215,80344.0
30,2020,ALABAMA,AL,BUTLER,1013.0,DEMOCRAT,3965,19448.0,18.0,141301345.392064,50.0,105406875.42070399,55971.0,40049,68198.0
38,2020,ALABAMA,AL,BUTLER,1013.0,OTHER,65,19448.0,18.0,141301345.392064,50.0,105406875.42070399,55971.0,40049,68198.0
46,2020,ALABAMA,AL,BUTLER,1013.0,REPUBLICAN,5458,19448.0,18.0,141301345.392064,50.0,105406875.42070399,55971.0,40049,68198.0
54,2020,ALABAMA,AL,CALHOUN,1015.0,DEMOCRAT,15216,113605.0,14.0,5082248963.567867,50.0,3974881403.04042,61137.0,39105,69780.0
65,2020,ALABAMA,AL,CALHOUN,1015.0,OTHER,666,113605.0,14.0,5082248963.567867,50.0,3974881403.04042,61137.0,39105,69780.0
76,2020,ALABAMA,AL,CALHOUN,1015.0,REPUBLICAN,35101,113605.0,14.0,5082248963.567867,50.0,3974881403.04042,61137.0,39105,69780.0
87,2020,ALABAMA,AL,CHAMBERS,1017.0,DEMOCRAT,6365,33254.0,6.0,451097640.79488677,50.0,348830509.05235523,53505.0,45986,59318.0
89,2020,ALABAMA,AL,CHAMBERS,1017.0,OTHER,166,33254.0,6.0,451097640.79488677,50.0,348830509.05235523,53505.0,45986,59318.0
91,2020,ALABAMA,AL,CHAMBERS,1017.0,REPUBLICAN,8753,33254.0,6.0,451097640.79488677,50.0,348830509.05235523,53505.0,45986,59318.0
93,2020,ALABAMA,AL,CHEROKEE,1019.0,DEMOCRAT,1624,26196.0,-3.0,266247107.95176002,50.0,206126804.321208,57617.0,43107,58700.0
101,2020,ALABAMA,AL,CHEROKEE,1019.0,OTHER,94,26196.0,-3.0,266247107.95176002,50.0,206126804.321208,57617.0,43107,58700.0
109,2020,ALABAMA,AL,CHEROKEE,1019.0,REPUBLICAN,10583,26196.0,-3.0,266247107.95176002,50.0,206126804.321208,57617.0,43107,58700.0
117,2020,ALABAMA,AL,CHILTON,1021.0,DEMOCRAT,3073,44428.0,35.0,800387137.723264,50.0,552730505.3939681,62784.0,47591,65857.0
118,2020,ALABAMA,AL,CHILTON,1021.0,OTHER,152,44428.0,35.0,800387137.723264,50.0,552730505.3939681,62784.0,47591,65857.0
119,2020,ALABAMA,AL,CHILTON,1021.0,REPUBLICAN,16085,44428.0,35.0,800387137.723264,50.0,552730505.3939681,62784.0,47591,65857.0
120,2020,ALABAMA,AL,CHOCTAW,1023.0,DEMOCRAT,3127,12589.0,-2.0,61996078.058216594,45490462.195077,43490661.3047306,52395.0,36665,64098.0
123,2020,ALABAMA,AL,CHOCTAW,1023.0,OTHER,41,12589.0,-2.0,61996078.058216594,45490462.195077,43490661.3047306,52395.0,36665,64098.0
